rut_jefe_cierre,id_instalacion,fecha_cierre,fecha_apertura
67710168-7,15,2010-06-17 00:03:32,2010-06-28 03:33:01
31359212-k,15,2015-12-03 03:29:17,2015-12-16 06:11:27
18665525-7,15,2016-06-23 18:18:46,2016-07-04 03:36:30
93009498-6,15,2017-09-11 12:10:16,2017-09-17 18:05:00
20640357-8,15,2012-08-16 20:35:06,2012-08-28 03:55:28
37925650-3,16,2016-07-07 15:33:41,2016-07-18 21:55:26
26240285-1,16,2015-08-20 02:45:50,2015-08-29 10:31:27
86164302-6,16,2010-09-27 21:48:09,2010-10-06 23:02:14
86164302-6,16,2015-11-23 21:00:09,2015-11-29 07:15:58
53089483-5,16,2014-05-28 16:12:42,2014-06-11 20:41:27
80291272-2,17,2014-11-30 17:17:54,2014-12-15 09:25:15
46288331-5,17,2012-09-05 23:24:13,2012-09-18 06:51:44
69760987-3,17,2017-06-01 11:47:47,2017-06-10 20:19:01
82645956-5,18,2015-12-17 00:16:27,2015-12-20 16:05:18
70638696-3,18,2011-09-08 17:14:32,2011-09-22 22:16:03
53783913-9,18,2014-10-29 12:20:06,2014-11-08 01:12:32
12920124-k,18,2019-04-09 18:53:58,2019-04-22 05:40:34
45981588-0,18,2018-06-19 05:14:58,2018-06-25 20:50:21
21759577-0,19,2011-10-09 02:29:22,2011-10-17 03:32:55
89118524-3,19,2019-03-06 23:03:43,2019-03-21 04:44:41
50942616-3,19,2012-06-15 05:05:52,2012-06-18 17:45:13
78918085-7,20,2011-11-12 19:17:17,2011-11-16 02:33:59
96828461-4,20,2015-06-06 23:04:11,2015-06-18 06:39:21
82376572-k,21,2016-05-20 03:26:46,2016-05-30 12:41:18
35340502-0,21,2019-08-28 11:12:00,2019-09-06 03:39:40
82376572-k,21,2011-08-14 15:58:33,2011-08-29 06:34:33
34846808-1,21,2018-04-04 06:29:09,2018-04-15 12:16:38
35340502-0,21,2010-10-14 10:10:33,2010-10-22 16:06:43
74759859-2,21,2011-03-07 06:01:45,2011-03-20 12:44:22
56093204-9,21,2010-07-28 02:07:21,2010-08-03 05:40:41
63974341-1,22,2020-08-10 16:43:20,2020-08-18 02:03:30
63974341-1,22,2011-02-23 03:02:22,2011-02-26 14:21:07
63974341-1,22,2011-12-29 06:38:21,2012-01-05 15:44:08
28630079-0,23,2017-06-01 08:29:37,2017-06-11 21:48:20
57689116-4,23,2018-11-22 09:25:22,2018-11-26 22:47:44
28630079-0,23,2013-05-07 09:42:46,2013-05-16 12:00:58
28630079-0,23,2017-11-13 16:53:14,2017-11-21 19:00:39
44100123-1,24,2014-06-23 05:21:14,2014-07-06 10:47:44
59129614-0,24,2016-06-14 18:23:03,2016-06-27 06:09:04
69141385-3,24,2015-10-15 20:09:04,2015-10-23 04:22:17
52581344-4,24,2020-05-08 04:21:09,2020-05-12 06:47:44
69141385-3,24,2010-07-21 14:36:25,2010-07-25 01:42:59
32992512-9,24,2017-03-18 11:41:17,2017-03-22 20:24:06
32992512-9,24,2014-04-26 04:17:37,2014-04-30 15:43:32
42226798-0,25,2019-10-01 16:08:08,2019-10-14 08:44:54
59537115-5,25,2020-04-25 20:39:28,2020-05-07 22:16:55
56914123-0,25,2018-05-26 09:09:52,2018-05-31 01:10:57
96951878-3,25,2020-01-20 04:42:32,2020-01-26 12:09:31
43922451-7,26,2014-10-11 19:47:33,2014-10-25 11:40:18
95741388-9,26,2017-08-28 16:02:09,2017-09-01 04:46:59
43922451-7,26,2010-02-11 05:07:10,2010-02-25 05:13:46
15333675-k,26,2013-10-29 06:43:32,2013-11-12 21:31:10
43922451-7,26,2019-03-04 08:53:38,2019-03-17 11:51:39
95741388-9,26,2014-01-24 06:36:08,2014-01-29 19:22:41
69402733-4,27,2016-02-04 20:35:48,2016-02-08 02:06:06
44281327-2,27,2015-06-07 01:26:45,2015-06-14 08:08:40
25002692-7,27,2015-05-15 15:08:08,2015-05-18 16:30:42
74361473-9,27,2020-03-13 06:40:59,2020-03-26 21:15:14
25002692-7,27,2012-12-17 09:26:01,2012-12-20 19:26:08
69402733-4,27,2018-10-08 09:47:46,2018-10-16 16:03:44
94362008-3,28,2018-09-26 20:50:40,2018-10-04 00:57:34
83118985-1,28,2013-02-24 00:58:46,2013-03-07 03:42:00
14114400-6,28,2013-08-25 16:09:46,2013-09-06 06:10:50
83118985-1,28,2020-01-06 16:47:39,2020-01-21 08:34:59
14114400-6,28,2015-08-06 07:45:15,2015-08-12 19:57:06
94362008-3,28,2017-04-22 04:34:38,2017-05-05 14:46:52
54122700-8,29,2014-02-24 14:16:18,2014-03-07 05:59:48
28231652-8,29,2011-11-01 18:57:59,2011-11-12 20:18:18
28231652-8,29,2013-03-29 16:23:20,2013-04-06 07:27:40
54122700-8,29,2018-11-22 19:54:10,2018-12-05 02:11:20
49993665-6,29,2018-08-03 14:07:44,2018-08-17 15:53:07
28231652-8,29,2013-10-11 04:15:05,2013-10-21 12:41:54
33016426-3,30,2017-08-25 10:06:01,2017-09-06 00:04:34
33016426-3,30,2019-03-23 17:39:32,2019-03-29 05:38:41
90471139-k,31,2011-03-19 08:20:07,2011-04-03 00:13:42
90471139-k,31,2020-06-20 06:16:40,2020-06-26 22:35:59
90471139-k,31,2016-12-18 07:09:13,2016-12-24 15:41:24
90471139-k,31,2020-04-18 20:34:41,2020-05-01 05:11:28
22997103-4,32,2013-03-10 00:56:38,2013-03-18 09:07:58
88413708-k,32,2015-08-30 12:53:34,2015-09-05 00:17:52
25450277-4,32,2015-09-27 09:11:55,2015-10-01 18:26:30
99233768-0,32,2011-02-08 16:17:18,2011-02-13 19:32:41
25750021-7,32,2011-08-19 03:13:29,2011-08-22 15:46:04
56292778-6,33,2010-09-15 22:40:35,2010-09-21 04:18:09
78166652-1,33,2012-10-05 00:28:09,2012-10-19 00:37:42
91888069-0,33,2016-10-05 10:28:54,2016-10-19 20:20:20
13068977-9,33,2019-12-09 12:58:40,2019-12-20 22:22:29
14200344-9,34,2017-10-18 07:34:56,2017-10-27 17:02:28
83905334-7,34,2011-01-22 03:12:51,2011-02-05 03:51:32
83905334-7,34,2016-03-27 17:36:50,2016-04-06 06:42:48
14200344-9,34,2019-01-31 13:45:10,2019-02-09 14:55:13
31111145-0,35,2018-06-28 05:22:57,2018-07-07 06:24:56
23748548-3,35,2010-01-02 16:58:28,2010-01-17 03:55:58
48979148-k,36,2020-06-26 04:30:06,2020-07-08 09:40:24
70876733-6,36,2013-05-08 06:07:59,2013-05-12 19:55:11
29742884-5,36,2014-08-26 16:27:22,2014-09-02 00:26:04
78897889-8,37,2013-03-20 01:16:54,2013-03-23 07:29:52
41694611-6,37,2016-07-20 14:03:46,2016-08-01 21:02:57
22479749-4,37,2017-06-22 16:13:35,2017-07-05 01:16:12
34349789-k,37,2019-07-02 20:22:26,2019-07-08 07:44:51
34349789-k,37,2019-03-25 08:30:25,2019-04-03 16:09:14
41694611-6,37,2014-12-01 08:53:16,2014-12-11 17:35:24
73222374-6,38,2011-03-10 06:01:15,2011-03-15 12:18:55
37797879-k,38,2015-09-05 23:39:37,2015-09-13 04:49:35
88772168-8,38,2014-06-18 11:05:16,2014-06-21 13:00:55
58303600-8,39,2016-05-22 02:38:32,2016-05-30 06:35:53
58303600-8,39,2016-09-20 13:13:47,2016-10-02 21:46:12
58303600-8,39,2015-11-12 09:54:02,2015-11-21 18:51:22
23494123-2,40,2016-09-07 17:10:20,2016-09-21 05:11:26
77210598-3,40,2012-05-05 09:45:09,2012-05-18 18:02:23
23494123-2,40,2018-03-07 03:04:33,2018-03-20 09:06:49
22001298-0,40,2010-08-03 11:34:37,2010-08-13 21:56:24
22001298-0,40,2012-05-07 14:22:31,2012-05-17 01:33:49
77210598-3,40,2019-11-22 00:56:09,2019-11-27 10:56:54
87649058-7,41,2014-08-27 20:53:02,2014-09-11 11:39:41
38470405-0,41,2010-02-19 23:24:50,2010-03-01 10:57:43
87649058-7,41,2015-11-19 21:54:13,2015-11-26 11:47:18
29950437-9,41,2014-12-02 06:08:39,2014-12-06 08:40:48
23686910-5,41,2012-05-22 04:16:25,2012-06-01 19:14:56
69020528-9,42,2020-03-09 13:13:42,2020-03-19 19:28:17
69020528-9,42,2020-07-10 14:51:27,2020-07-13 18:04:59
96251410-3,42,2019-05-26 22:50:20,2019-06-06 04:08:07
79543386-4,43,2015-01-04 23:17:00,2015-01-12 09:31:35
12412672-k,44,2019-04-29 16:34:27,2019-05-13 21:39:42
68505645-3,45,2017-03-04 06:04:46,2017-03-15 12:12:35
22274441-5,45,2017-10-20 01:16:35,2017-10-30 11:16:13
22274441-5,45,2015-08-06 19:49:14,2015-08-14 05:06:40
75981648-k,45,2020-01-22 13:04:51,2020-01-29 19:25:55
68505645-3,45,2018-01-20 23:12:15,2018-01-26 12:55:42
67629255-1,46,2020-01-11 04:41:41,2020-01-17 15:41:58
67629255-1,46,2013-02-10 04:58:46,2013-02-23 16:07:11
91888493-9,46,2011-08-28 07:26:29,2011-08-31 21:51:28
27183294-k,47,2012-01-09 04:34:41,2012-01-19 06:03:18
90594532-7,47,2019-03-14 17:41:03,2019-03-28 04:08:00
27183294-k,47,2012-05-16 21:59:46,2012-05-31 03:13:25
11554909-k,48,2013-03-22 14:03:33,2013-03-30 00:31:48
11554909-k,48,2011-11-10 07:24:18,2011-11-20 11:38:39
14377401-5,48,2016-10-01 12:18:14,2016-10-04 22:21:14
51630030-2,48,2013-01-09 05:13:39,2013-01-19 05:58:49
11554909-k,48,2017-06-28 09:27:57,2017-07-06 20:27:14
37285914-8,48,2011-01-24 23:18:26,2011-02-02 05:16:51
14408869-7,49,2017-05-21 16:47:30,2017-06-03 23:40:58
46531952-6,50,2013-03-22 06:37:47,2013-03-25 09:56:39
62550748-0,50,2010-07-20 19:56:31,2010-07-24 08:31:30
66970190-k,51,2018-12-16 20:11:01,2018-12-31 11:26:41
44626695-0,51,2017-07-22 14:35:09,2017-08-01 02:57:41
61993529-2,52,2014-04-16 21:15:06,2014-04-21 07:01:32
61993529-2,52,2011-02-25 08:10:50,2011-03-01 00:16:31
79263691-8,52,2014-12-17 03:57:36,2014-12-20 07:20:53
71881591-6,52,2016-08-23 16:36:13,2016-08-31 02:19:35
45026478-4,52,2018-02-21 04:18:56,2018-02-24 15:33:41
79263691-8,52,2013-01-07 09:45:13,2013-01-21 02:05:29
53747213-8,53,2016-07-27 03:43:00,2016-08-02 11:47:49
66045545-0,53,2015-10-10 23:17:32,2015-10-17 05:11:31
53747213-8,53,2015-11-24 03:05:13,2015-12-02 19:17:39
79348268-k,54,2011-08-23 06:30:26,2011-09-05 11:11:51
79348268-k,54,2010-03-10 10:03:39,2010-03-24 00:51:12
48925896-k,54,2010-08-08 22:59:48,2010-08-14 07:18:36
79348268-k,54,2017-12-02 21:53:43,2017-12-07 05:39:37
79348268-k,54,2014-05-15 13:09:57,2014-05-24 03:19:42
91957885-8,55,2018-08-18 00:24:03,2018-08-27 01:52:54
96900689-8,55,2019-01-24 11:30:16,2019-02-02 22:29:22
96900689-8,55,2014-01-09 21:34:34,2014-01-13 11:28:51
96900689-8,55,2012-07-07 02:13:35,2012-07-16 16:02:10
63968995-6,56,2015-03-30 03:10:35,2015-04-03 17:41:23
77941465-5,56,2010-03-06 13:03:18,2010-03-21 02:39:53
43926456-k,56,2013-08-01 17:14:23,2013-08-04 17:23:19
57792927-0,57,2018-11-09 15:49:46,2018-11-20 06:51:00
76081261-7,57,2011-03-25 11:46:32,2011-04-01 19:47:43
91231636-k,57,2017-03-14 21:47:05,2017-03-25 23:46:29
12673702-5,57,2017-06-15 02:32:57,2017-06-27 04:33:35
76081261-7,57,2013-05-01 06:39:42,2013-05-12 18:49:58
36432728-5,57,2015-05-14 21:50:06,2015-05-26 02:03:44
63421928-5,58,2016-10-18 03:14:06,2016-10-31 15:43:14
63421928-5,58,2015-12-18 18:24:53,2015-12-25 07:50:19
16792411-5,59,2012-04-05 06:58:45,2012-04-11 16:15:00
75910499-4,59,2019-12-17 23:16:28,2019-12-21 03:58:06
75910499-4,59,2019-07-30 10:13:01,2019-08-09 12:49:02
54121962-5,60,2019-03-26 16:24:20,2019-04-07 21:01:36
10254486-2,60,2018-08-07 03:42:20,2018-08-19 05:30:27
54121962-5,60,2013-09-28 17:35:28,2013-10-08 19:05:09
93900888-8,61,2017-06-24 08:34:32,2017-07-08 15:56:46
62014673-0,61,2015-08-30 03:43:43,2015-09-05 15:01:26
45400053-6,62,2015-11-16 03:58:08,2015-11-24 09:13:22
76849115-1,62,2010-11-27 16:40:48,2010-12-08 00:53:06
36600416-5,62,2011-01-31 20:22:55,2011-02-09 01:58:02
31457093-6,62,2018-12-24 04:58:05,2019-01-02 09:59:59
86083776-5,63,2012-06-13 03:05:22,2012-06-26 06:44:42
48007583-8,64,2010-09-27 07:42:11,2010-10-05 14:24:39
48176712-1,64,2019-11-14 08:14:45,2019-11-23 00:10:20
71134226-5,65,2016-08-18 11:01:08,2016-08-27 03:40:55
30928102-0,65,2014-01-31 10:05:54,2014-02-13 13:26:36
65809271-5,65,2017-08-20 15:35:08,2017-08-31 19:26:55
30928102-0,65,2017-09-30 11:55:14,2017-10-08 04:23:09
95932617-7,66,2013-08-26 20:16:59,2013-08-30 06:06:06
43953571-7,66,2015-03-12 04:40:40,2015-03-25 12:30:20
95932617-7,66,2010-02-14 16:54:07,2010-02-24 19:38:11
43953571-7,66,2011-07-13 22:37:33,2011-07-25 14:13:48
53721649-2,67,2014-08-12 02:56:52,2014-08-24 05:57:47
59137080-4,67,2012-06-18 12:14:24,2012-06-27 16:30:26
58038177-4,67,2011-04-18 06:24:21,2011-04-22 21:04:21
11636170-1,67,2010-06-30 07:15:56,2010-07-06 18:46:25
48292072-1,67,2013-03-21 06:11:56,2013-04-03 17:17:42
63814706-8,67,2017-08-05 14:04:02,2017-08-15 18:04:55
57133149-7,67,2016-09-05 08:28:09,2016-09-09 20:47:32
53721649-2,67,2013-12-27 22:58:02,2014-01-09 14:47:39
99294258-4,68,2011-12-04 04:03:51,2011-12-08 16:51:29
49166815-6,68,2018-06-24 10:25:33,2018-06-29 11:04:23
95367461-0,69,2017-12-01 01:18:22,2017-12-13 03:28:49
10119008-0,69,2012-03-15 10:26:10,2012-03-26 12:55:57
58765828-3,70,2013-11-15 04:59:28,2013-11-20 20:29:45
25399600-5,70,2013-02-04 09:31:24,2013-02-16 12:50:29
81698647-8,71,2015-07-14 00:07:57,2015-07-18 09:49:54
81698647-8,71,2011-02-09 01:43:59,2011-02-14 10:24:43
15119459-1,71,2014-05-08 05:39:58,2014-05-17 16:20:24
46012714-9,72,2011-06-17 19:01:16,2011-06-27 21:00:10
22637365-9,72,2012-01-11 08:30:45,2012-01-16 19:12:04
64370666-0,72,2018-09-08 07:07:14,2018-09-20 07:29:24
58000701-5,72,2013-12-22 16:53:31,2013-12-25 23:55:22
64370666-0,72,2013-11-11 23:18:14,2013-11-18 01:03:08
29903675-8,73,2017-02-24 22:26:36,2017-03-05 09:11:23
33090056-3,73,2017-02-05 08:57:19,2017-02-12 17:09:45
80282829-2,74,2016-03-02 01:03:44,2016-03-13 11:41:10
47121914-2,74,2012-09-11 15:16:44,2012-09-17 22:16:10
42300579-3,74,2015-08-22 03:32:31,2015-08-26 11:16:45
49798131-k,74,2020-07-26 18:17:59,2020-08-02 10:14:12
47121914-2,74,2015-09-21 21:57:09,2015-09-30 11:23:04
42300579-3,74,2010-12-17 22:42:27,2010-12-23 02:01:37
72309503-4,74,2010-05-20 12:24:07,2010-06-04 01:52:53
34823992-9,75,2019-01-11 09:58:22,2019-01-25 13:53:32
79850677-3,75,2017-01-02 17:56:30,2017-01-11 04:17:28
59495529-3,75,2020-04-24 23:49:47,2020-05-01 15:01:08
73418283-4,76,2018-10-20 12:38:36,2018-11-01 17:42:25
32700742-4,76,2018-06-09 14:00:43,2018-06-15 05:25:27
10537138-1,76,2010-04-18 03:22:05,2010-04-28 12:43:04
10537138-1,76,2011-01-30 21:28:28,2011-02-07 08:20:17
78734770-3,77,2019-04-04 04:52:02,2019-04-07 07:38:53
59444986-k,77,2013-03-24 01:22:38,2013-04-04 10:41:23
81600879-4,77,2011-05-28 03:31:18,2011-06-06 19:07:12
75357089-6,77,2014-03-15 01:31:11,2014-03-26 15:07:39
59444986-k,77,2013-05-18 08:16:35,2013-05-24 21:30:21
57639262-1,77,2017-11-09 13:21:08,2017-11-24 04:06:03
56725663-4,78,2019-03-03 04:14:11,2019-03-11 12:17:20
27161682-1,78,2019-02-01 22:33:47,2019-02-09 08:10:59
12815044-7,78,2013-06-27 20:19:10,2013-07-04 06:37:51
92244003-4,79,2014-07-05 14:21:38,2014-07-13 01:14:38
92244003-4,79,2014-12-06 18:52:03,2014-12-19 03:00:09
92244003-4,79,2018-11-19 03:26:00,2018-11-25 18:26:56
92244003-4,79,2017-08-30 05:01:41,2017-09-11 16:43:59
77477421-1,79,2016-04-28 10:18:55,2016-05-04 01:56:32
77477421-1,79,2018-10-19 05:32:48,2018-10-22 09:23:10
85301240-8,80,2012-01-16 20:13:04,2012-01-26 12:15:20
50319391-4,80,2020-01-13 23:13:32,2020-01-20 12:32:17
85301240-8,80,2014-11-14 18:40:37,2014-11-25 06:28:36
43630930-9,80,2012-07-18 04:30:04,2012-07-23 12:54:37
85301240-8,80,2017-01-11 04:42:02,2017-01-17 19:36:12
92170041-5,80,2013-08-12 09:55:57,2013-08-21 16:39:42
97343582-5,80,2011-01-25 06:21:52,2011-02-05 14:30:31
92170041-5,80,2016-05-05 20:33:35,2016-05-14 09:11:21
87634133-6,81,2014-12-18 11:53:34,2014-12-28 22:25:13
48246125-5,81,2015-09-19 07:35:50,2015-09-26 20:24:57
90739234-1,81,2020-01-12 03:13:45,2020-01-26 07:30:56
79480331-5,81,2016-05-11 15:26:43,2016-05-26 03:03:10
86043030-4,82,2013-05-15 07:21:50,2013-05-25 08:59:44
83290634-4,82,2017-05-11 23:58:38,2017-05-15 15:16:15
33006349-1,82,2018-12-24 08:35:47,2019-01-03 15:19:46
64268937-1,82,2010-09-18 20:13:54,2010-09-24 09:19:02
99466469-7,82,2012-02-06 10:45:47,2012-02-20 13:18:35
21630671-6,82,2020-05-24 05:47:46,2020-06-01 16:57:08
49995619-3,83,2013-11-04 08:52:15,2013-11-18 18:00:21
47922722-5,83,2018-07-03 21:43:26,2018-07-16 09:35:06
35155157-7,84,2014-05-28 11:46:15,2014-06-11 12:53:51
55422937-9,84,2018-06-05 06:22:02,2018-06-09 20:41:09
72429091-4,84,2011-05-19 04:05:01,2011-06-02 19:32:42
15623590-3,84,2018-11-30 21:24:54,2018-12-06 05:07:03
15451762-6,85,2020-08-19 10:57:02,2020-08-29 20:12:31
12460058-8,85,2015-06-08 19:43:34,2015-06-22 07:44:36
33874298-3,85,2018-03-14 16:07:57,2018-03-22 07:23:49
63795324-9,86,2014-12-07 13:26:52,2014-12-14 19:21:02
84921010-6,86,2018-12-19 08:05:28,2018-12-31 23:43:52
42113348-4,86,2011-09-07 21:23:26,2011-09-15 23:22:18
34414978-k,86,2011-05-19 01:24:48,2011-06-02 02:27:28
34414978-k,86,2018-05-01 07:58:40,2018-05-07 21:23:48
78156640-3,87,2014-03-03 00:02:20,2014-03-06 01:50:44
80640357-1,87,2019-01-11 20:23:52,2019-01-15 11:57:45
64063874-5,87,2019-11-13 21:46:44,2019-11-26 22:15:47
74357811-2,87,2017-01-05 16:49:05,2017-01-16 02:10:00
73324033-4,88,2013-12-11 00:19:37,2013-12-24 02:38:44
77366538-9,88,2020-05-24 00:38:01,2020-05-30 06:17:43
17286061-3,88,2018-08-31 21:45:31,2018-09-12 10:37:39
54480341-7,88,2017-06-29 15:56:36,2017-07-05 16:01:27
73324033-4,88,2013-07-31 10:44:42,2013-08-09 10:51:49
20694588-5,89,2017-08-03 21:00:40,2017-08-18 03:56:38
20694588-5,89,2019-05-31 12:59:19,2019-06-11 05:11:22
16008678-5,89,2016-11-06 21:16:40,2016-11-17 01:59:05
58366562-5,89,2020-01-14 22:17:48,2020-01-23 03:18:33
24878659-0,90,2010-05-10 13:07:11,2010-05-18 16:55:52
32628385-1,90,2018-02-04 01:39:36,2018-02-17 03:32:33
95656123-k,90,2015-05-06 08:49:13,2015-05-19 19:26:43
74415365-4,91,2019-08-29 00:03:15,2019-09-10 15:26:21
74415365-4,91,2014-04-13 12:56:02,2014-04-26 16:13:03
74415365-4,91,2010-12-27 21:18:37,2011-01-10 08:49:35
12033288-0,92,2015-06-29 00:09:31,2015-07-04 06:23:52
30224213-5,92,2020-03-15 15:18:14,2020-03-19 17:13:28
13965853-1,92,2013-10-12 16:42:57,2013-10-22 09:03:21
82833215-5,93,2010-01-08 22:42:07,2010-01-19 23:15:19
44372095-2,93,2011-12-08 03:42:36,2011-12-15 04:53:30
82833215-5,93,2020-01-29 22:15:48,2020-02-04 08:18:22
82833215-5,93,2020-03-26 06:18:35,2020-04-04 10:38:49
93044599-1,93,2019-03-24 11:35:19,2019-04-05 20:01:06
14982281-k,93,2011-04-09 02:06:42,2011-04-19 08:33:02
82833215-5,93,2013-11-11 21:37:20,2013-11-16 04:10:02
44372095-2,93,2012-07-31 02:21:48,2012-08-07 06:21:28
44290962-8,94,2012-06-06 10:19:42,2012-06-20 21:47:58
41361801-0,94,2010-09-24 11:39:42,2010-10-07 13:08:07
44290962-8,94,2016-03-02 21:58:56,2016-03-09 08:22:18
49036882-5,95,2014-08-29 04:47:29,2014-09-01 08:00:18
38235761-2,95,2011-11-14 07:08:12,2011-11-23 14:35:00
94688326-3,96,2013-08-25 20:10:03,2013-08-29 09:48:20
49891081-5,96,2015-06-04 00:06:55,2015-06-09 10:29:04
95623149-3,96,2018-02-01 09:05:36,2018-02-08 21:19:23
44770429-3,96,2012-01-13 12:47:13,2012-01-21 15:11:06
77020926-9,97,2014-10-25 02:02:31,2014-11-04 05:53:29
60926655-4,97,2011-04-05 09:50:39,2011-04-19 11:36:36
87544765-3,97,2010-01-24 16:04:34,2010-02-04 20:07:53
87544765-3,97,2018-07-18 14:15:56,2018-07-25 19:43:07
77020926-9,97,2014-10-18 07:08:55,2014-10-24 10:27:21
99837067-1,98,2016-04-24 22:12:52,2016-05-01 09:08:19
16670974-1,98,2019-09-01 15:59:46,2019-09-05 04:16:36
99837067-1,98,2012-04-25 16:55:05,2012-05-05 19:29:24
35661237-k,98,2020-04-21 17:54:58,2020-04-29 23:44:00
17195049-k,99,2018-01-16 03:47:09,2018-01-19 10:00:52
48161908-4,99,2017-10-22 06:03:31,2017-11-03 08:41:01
34996262-4,100,2011-09-29 12:20:29,2011-10-13 15:23:09
92394961-5,100,2017-06-15 04:15:58,2017-06-20 10:32:32
56474633-9,100,2012-01-09 17:12:40,2012-01-13 01:32:06
73540572-1,100,2018-05-14 11:37:29,2018-05-23 22:17:42
34996262-4,100,2020-03-31 15:08:47,2020-04-10 06:33:55
92394961-5,100,2020-07-10 12:44:33,2020-07-21 02:08:32
34996262-4,100,2018-05-31 06:13:51,2018-06-04 18:42:23
89146700-1,101,2017-02-06 04:26:09,2017-02-17 16:17:03
62887150-7,101,2018-05-08 14:35:34,2018-05-18 16:58:51
80885102-4,101,2011-10-16 17:57:22,2011-10-24 07:56:01
36615636-4,101,2018-12-02 18:10:44,2018-12-07 04:25:19
31706054-8,101,2014-01-12 17:51:02,2014-01-19 04:04:17
31706054-8,101,2011-05-23 20:15:34,2011-05-30 01:42:21
89146700-1,101,2016-01-05 22:13:23,2016-01-16 03:52:43
35414863-3,101,2015-04-07 09:18:40,2015-04-11 20:49:09
34643031-1,102,2010-04-16 01:14:24,2010-04-28 02:11:09
